employee_id,first_name,last_name,email,phone_number,address,birthdate,hire_date,job_title,department,salary,hashed_password
b40bfb50-451d-4d23-995f-46ae001572ab,Jonathan,Hodges,riveramark@example.net,553-904-5818x707,"2724 Robertson Mountain
Amandamouth, TX 71041",1966-01-30,1992-04-13,Environmental health practitioner,Finance,75332,$2b$12$7FI0fPbnLpTzxpUk1p6pE.43QNu5Y3KIgXDfdQadQY5kZbH2iAEbO
825b54ab-8dbe-4f2d-9a3c-483e101fb1d6,Christopher,Scott,connorberry@example.com,+1-823-351-1154,"868 Hernandez Mountain
Joannside, NE 21999",1965-09-18,2023-03-07,Psychiatric nurse,Sales,107776,$2b$12$KSTEp1lwX9GCrQRURbYWw.FLd3hF./RuSCBHjW.sqeCOowXpYURbm
cce318db-bb10-4c6a-a494-80137fa43713,Nicole,Fisher,brenda28@example.net,001-306-597-7288x46952,"3244 Chloe Branch Apt. 382
Matthewburgh, NJ 47562",1988-07-01,2021-01-25,"Accountant, chartered",Engineering,143031,$2b$12$uXz9/S1eLpe/9ExLQIS7c.IzWcTWZtGQD6/RyIitmo2hMM/9XmOW.
d7792bc7-ee0e-40f3-af7a-b29df95dc842,Vickie,Rice,wjensen@example.com,(798)670-4792x805,"24481 Bennett Crest Suite 865
East Lauren, AZ 86391",1975-10-04,2016-11-19,Dancer,Engineering,96375,$2b$12$CvJyTfvesf8GctV7YxBSUuHVN9AoI455IjdbyYS7y7GmRBO5oMKI.
807b11d0-4d12-4a98-b6dd-e857f23b43c2,Patricia,Jackson,sullivankevin@example.com,6848095330,"67001 Howard Place
Tammybury, NY 76520",1988-10-07,2022-03-16,Osteopath,Engineering,109547,$2b$12$L03K3CtWkQPbe9BB.sgvveuL6S8yiKnJIQm8FKEjkL.1X5VsJ1osS
d38e3105-0626-4018-94bc-84451fce308c,Robert,Moon,lisa40@example.org,+1-430-392-6394x002,"66440 Ayers Grove
North Brooke, AS 78565",1963-12-26,1989-10-11,Youth worker,Engineering,43143,$2b$12$hNWfFU2E/1GqY1THBkZKcO3XTDpwjxY4E3TQhVau7q.yIYEtyR5Mq
1c56d29a-30a7-4ed5-8a8a-60a177d9e742,Kevin,Lee,jluna@example.org,001-772-829-7751x8253,"214 Robert Street
North Michaeltown, WV 56449",1980-06-25,2013-03-29,Hydrogeologist,Engineering,134788,$2b$12$cbLN5uUq.qtCI6zV8x/WROAxeLM540YlzqHcpYS93PAzeWisfivBK
339af3ec-a349-4e10-8d3b-e91b78fa0ea4,Lisa,Green,bhansen@example.net,970.915.3911x46264,"11950 Craig Villages Apt. 997
North Kevinland, SD 43220",1961-09-11,2000-07-07,Special educational needs teacher,HR,143395,$2b$12$LWZ7vXPcItifX1wbHx34EO1TWmCHi8R.hteHuFqftvrQLkV8mOE1O
6c2d4424-8b50-4b10-bd98-6d5ad105d754,Kathy,Sullivan,barronmarissa@example.net,(381)989-9735,"1325 Taylor Estates
New Danielfurt, AL 27255",1994-11-20,2018-01-04,Medical physicist,IT,97594,$2b$12$leGR7dEbG6KCRKy9IShmCeeSayi8kjSgSWR3Sb8izOvxDbPlD/SLO
9d76610d-8cc9-45b3-8ff3-3e80354b9f9b,Jill,Grant,hernandezstephanie@example.org,+1-500-940-2982x952,"53099 Amanda Brooks
Newmanborough, KS 42879",1996-10-07,2019-06-05,Corporate treasurer,Finance,116151,$2b$12$oHRMA/jHekoHJ2L4ttF4N.TCvq84lz3teoloAXxMuGzPsgXx9GbyW
553cc56a-cf9d-4503-9533-050752371992,Joann,Garcia,leon91@example.net,890-258-4756x8658,"6902 Jackson Station Suite 443
North Dennis, IA 37389",1976-11-12,2003-06-12,Energy manager,Sales,86762,$2b$12$WYolIBeQixV7pPmmYW1nvOTBJX8eQ8Qtbg1JFSoRj3T41KpYdwwW2
7c9fa1b8-0828-4f80-978c-0bce4c0da567,Craig,Fitzpatrick,kathryngardner@example.com,835-541-4750x43875,"0076 Smith Corner
South Brandon, FL 43855",1968-08-27,2008-05-29,Colour technologist,IT,116779,$2b$12$W39gJDmStncBSdN6Q.b.Juf1xjIE9vPPqKJFee5X87lzybAdO7Qc.
ecbaaa41-2b20-4d18-881c-4594cbbe9622,Paul,Pham,glenn81@example.com,5225088200,"60964 Joanna Flats Suite 973
Davidburgh, MI 27556",1973-09-27,2016-07-31,Television camera operator,Sales,90009,$2b$12$pliYLiooMEVVde6jK7d7vuz4MlsdZDu9xLEYeiXvzyG6h19XEdjbm
01203809-380d-43f1-9d74-ab0fe145b911,Alexander,Morales,smithheather@example.net,(832)993-1132,"041 Vaughan Orchard
South Sarahchester, TX 34614",1977-03-14,2009-02-03,"Psychologist, sport and exercise",HR,85472,$2b$12$CUQdGKHB63GpNeoZygBFXulMVIprBhm46cE4w3KHrS52aXBaaOiNu
97cc48a4-60e4-48af-befa-22e50ce8fea1,Adam,Ballard,susan79@example.org,461.833.5875x590,"99749 Gregory Haven Apt. 729
Grayhaven, TX 97358",1986-06-06,2014-07-03,Building surveyor,HR,120940,$2b$12$5DnC9r9iiuNkIkZWxmirj.ahyeL13eI7kZ4WlruN8QgcJ/7TQD.2K
77e0f884-9c1f-4f8b-b54e-ace22001a79d,Haley,Cross,nathan91@example.com,953-536-3527x3988,"34517 George Stravenue
West Raymondport, UT 98466",1959-09-06,1997-05-05,"Psychologist, forensic",Sales,54374,$2b$12$hOYZpO9EPLI63ZhyrXUtb.8v9gCxs7WV9Wv/pdsLuTilAdtUafGMi
bd2f5863-4098-42b7-a86a-336900924d8c,Deborah,Hall,elizabeth69@example.com,001-252-859-9277,"873 Darren Tunnel
New Brittanyhaven, DE 13419",1980-12-19,2019-08-31,Geographical information systems officer,Marketing,94513,$2b$12$USPENGSGGKfilMfXIEP81umd2B3oOMMvLbrzkGqnoKpY8nI5F6zx2
ee9976ce-34f8-4fd4-8fed-14d6439611fe,Scott,Ramos,tschneider@example.com,2803348392,"29533 Steven Wall Apt. 567
Russellville, WV 59865",1975-06-09,1996-01-02,Leisure centre manager,Marketing,145139,$2b$12$YBpLV6Kt82Y5/SooujBLjOf01U7p5ojxuqNPttD0I79A/pvo3HWfy
d27bfe70-6cdc-4203-88d5-c30d0eb1faf2,Steve,Taylor,brownryan@example.net,+1-382-389-5720x778,"17768 Nelson Throughway
New Richardchester, KS 17766",1997-02-27,2019-08-18,Private music teacher,HR,141756,$2b$12$54hYyaidUSvlvisQZP8K/eHpthtMHj32SOCFJgxbQxGsZ94mUNCx6
38f161e8-cb37-46ec-804d-216f50c6257d,Jason,Snyder,evansraymond@example.com,350.344.9847x422,"059 Webster Field Apt. 023
West Timothy, ID 69872",1961-10-08,2000-01-20,Farm manager,Marketing,142922,$2b$12$3hjmDoymcxcd0Y/dGb8qGu.NZSBffuL6mb8cFIqO2APNRXyyWytae
5f38fb7b-a3a7-4d4a-a0a6-346ed118d2de,Anthony,Williams,jaredwilliams@example.org,953.595.4897x1105,"32958 Daniel Isle Apt. 838
East Jacobland, AL 82726",1993-09-08,2021-12-12,Housing manager/officer,Finance,149561,$2b$12$2BZZmeUSnypm8QY/QBIajeQ9GdVRI.FVXPerJtjiA6pZ5OOOWsoA2
3159d332-0753-49ad-b1db-cf5d9b69e161,Cynthia,Villegas,katherine72@example.org,(216)489-7852x63092,"253 Glover Avenue
Catherineberg, SC 70036",1977-03-21,2009-06-14,"Surveyor, land/geomatics",Engineering,125196,$2b$12$cObaBIWZ/XRsDkPlsKIGXe0AMbV6NEM.bmhvommWERUBCIoGUXLPW
2d51e559-2345-4aea-904a-a231fd4f761c,Amanda,Jones,hollytate@example.net,241.691.0058x31785,"4669 Gabrielle Isle
Stephanieton, SD 46317",1977-03-24,2021-02-28,Special effects artist,HR,75259,$2b$12$7Fdrc5F0d3M.Jkj23KpJ7eEJa3suYnsUNzJwbjZVcVNYvB0CJ32Z6
e947e5f4-f89f-4ff4-a32a-03db4da1972b,Aaron,Nguyen,ufrench@example.net,264.530.3988x0978,"0520 Castillo Wells
Hernandezborough, NY 32484",1974-08-19,1995-01-17,"Therapist, nutritional",Finance,74269,$2b$12$s3kRzMB.H5gm5WubVc/ieO2iG9MQUuN6FnxBxK.KSp5azGZZrTnYK
4aee0dc9-4d86-4e90-a3c8-28289414ffc7,Mikayla,Glenn,stephaniecoleman@example.org,+1-267-995-4658x397,"10721 Sarah Burgs
Smithmouth, MH 35796",1989-07-30,2010-02-10,Armed forces technical officer,Sales,112226,$2b$12$k1Hx/FykHfagyaid39FoEePO2/GOcidwLZZe1DyMTh22RaQp3N3Ne
219f69d8-5bd9-49b8-ae57-17b9920df694,James,Dunn,tashacampbell@example.com,(465)332-6017x986,"5426 Wilson Vista
Craigside, MS 28259",1970-02-27,2013-05-13,"Runner, broadcasting/film/video",Marketing,140530,$2b$12$jTTZCUwtKNegNsT4cg7KZ.j1FVOSl53W4M8jzTK7TpQ7wJvyJfrDi
47b9bd86-6b76-4abf-adad-1f1c032bf41d,Molly,Lamb,bryan94@example.org,990.277.7368,"455 Harmon Key
Port Elizabeth, IN 11767",1993-10-23,2017-10-27,Warehouse manager,Marketing,40293,$2b$12$fOcv/aJ8NsEE75f/qkbYUuAPZI2AIZcEibztgKhxue7DVgJt6oow2
be226613-cfc3-4e9e-b8b6-cd83353ced51,Sarah,Smith,williamgreen@example.org,232-718-0263x812,"025 Nguyen Crest
Juanport, CA 91584",1994-03-20,2015-11-04,Local government officer,Finance,133110,$2b$12$uv7RkCGXzqK1SusR5t2j.ODW70YsOpqzF1bvJw7F0yYWIQFtV89Di
48969a74-36c4-4e8f-bda2-c3baae9bab7f,Jason,Garcia,albert98@example.com,+1-662-732-4415,"645 Michael Orchard
Javierville, FL 29046",1988-05-19,2016-05-04,Print production planner,HR,58263,$2b$12$ZgsAoG4rTzhWtVzTKOA3Su/3UtOEvwm0Ou3IK.8mm7H6PcP0gJJ02
efff924e-99a3-45be-8907-78801d466573,Joshua,Evans,kevin54@example.org,001-529-836-7352x66697,"5211 Katie Fort Apt. 828
Ricardoport, IL 01764",1989-10-19,2008-08-17,Paramedic,HR,117555,$2b$12$nVr1HDpqkiMkrCV7mWAhEOSA0XUC6uFXM6Q036tg5ei/0X67krqkm
